NUM_MUTATION	tool	RMSE_mean	MS_mean
100	CLEMENT_decision	0.68	86.52 (103.7-112.0% ↑)
100	pyclonevi	0.84	83.46
100	quantumclone	3.15	77.25
100	sciclone	1.03	78.71
100	simpleK_elbow	1.57	76.45
500	CLEMENT_decision	0.49	88.02 (105.6-113.4% ↑)
500	pyclonevi	1.19	83.35
500	quantumclone	3.39	77.6
500	sciclone	1.15	78.18
500	simpleK_elbow	1.52	77.68
1000	CLEMENT_decision	0.52	87.74 (107.5-115.1% ↑)
1000	pyclonevi	1.87	81.59
1000	quantumclone	3.59	76.22
1000	sciclone	1.32	77.5
1000	simpleK_elbow	1.62	76.88
